etapa,puesto,rep_id,rep_name,grafia,party,party_family,filas_habla_v3,palabras_habla_v3,pct_etapa
I,304,288,Carlos Espla Rizo,Carlos Esplá Rizo,RI,Republicanos,11,3890,0.00034
I,305,219,Honorato De Castro Bonel,Honorato de Castro Bonel,AR,Republicanos,50,3793,0.000331
I,306,201,Wenceslao Carrillo Alonso,Wenceslao Carrillo Alonso,PSOE,Socialista,39,3776,0.00033
I,307,395,Pedro Vicente Gomez Sanchez,Pedro Vicente Gómez Sánchez,PRR,Republicanos,19,3764,0.000329
I,308,608,Francisco Molleda Garces,Francisco Molleda Garcés,Indep.,Leonesista,8,3741,0.000327
I,309,871,Jose Sanchez Guerra Y Martinez,José Sánchez Guerra y Martínez,Indep.,Conservadores,23,3665,0.00032
I,310,731,Joaquin Pi Y Arsuaga,Joaquín Pi y Arsuaga,PRDF,Republicanos,11,3609,0.000315
I,311,692,Emilio Palomo Aguado,Emilio Palomo Aguado,PRR,Republicanos,14,3432,0.0003
I,312,497,Luis Lopez Doriga Meseguer,Luis López Dóriga Meseguer,PRRS,Republicanos,15,3419,0.000299
I,313,657,Ramon Nogues Y Bizet,Ramón Nogués y Bizet,PRRS,Republicanos,5,3317,0.00029
I,314,745,Manuel Portela Valladares,Manuel Portela Valladares,Indep.,Liberales,15,3261,0.000285
I,315,143,Sigfrido Blasco Blasco,Sigfrido Blasco-Ibáñez Blasco,PURA,Republicanos,3,3194,0.000279
I,316,856,Nicolas Salmeron Garcia,Nicolás Salmerón García,PRRS,Republicanos,3,3105,0.000271
I,317,119,Ramon Beade Mendez,Ramón Beade Méndez,PSOE,Socialista,14,3045,0.000266
I,318,326,Benigno Ferrer Domingo,Benigno Ferrer Domingo,PSOE,Socialista,23,3030,0.000265
I,319,896,Angel Segovia Burillo,Ángel Segovia Burillo,PRRS,Republicanos,18,2987,0.000261
I,320,413,Miguel Gortari Errea,Miguel Gortari Errea,CT,Carlistas,4,2906,0.000254
I,321,233,Fernando Coca Gonzalez Saavedra,Fernando Coca González Saavedra,AR,Republicanos,12,2900,0.000253
I,322,833,Jose Ruiz Del Toro,José Ruiz del Toro,PSOE,Socialista,11,2896,0.000253
I,323,467,Victoria Kent Siano,Victoria Kent Siano,PRRS,Republicanos,7,2891,0.000253
I,324,368,Joaquin Garcia Ribes,Joaquín García Ribes,PURA,Republicanos,6,2848,0.000249
I,325,41,Domingo Alonso Jimeno,Domingo Alonso Jimeno,PSOE,Socialista,3,2711,0.000237
I,326,494,Juan Loperena Roma,Juan Loperena Roma,PRRS,Republicanos,18,2705,0.000236
I,327,898,Juan Selvas Carne,Juan Selvas Carné,ERC,Catizq,4,2692,0.000235
I,328,707,Luis Peña Novo,Luis Peña Novo,FRG,Galleguista,1,2631,0.00023
I,329,417,Miguel Granados Ruiz,Miguel Granados Ruiz,PRRS,Republicanos,68,2604,0.000228
I,330,32,Edmundo Alfaro Gironda,Edmundo Alfaro Gironda,PRR,Republicanos,11,2603,0.000227
I,331,820,Jose Royo Gomez,José Royo Gómez,AR,Republicanos,6,2482,0.000217
I,332,765,Alfonso Quintana Pena,Alfonso Quintana Peña,PSOE,Socialista,10,2456,0.000215
I,333,351,Leopoldo Garcia Alas Y Garcia Arguelles,Leopoldo García Alas y García Argüelles,PRRS,Republicanos,15,2424,0.000212
I,334,216,Federico Del Castillo Extremera,Federico del Castillo Extremera,DLR,Liberales,7,2415,0.000211
I,335,221,Roberto Castrovido Sanz,Roberto Castrovido Sanz,Indep.,Republicanos,11,2413,0.000211
I,336,800,Alejandro Rodriguez Cadarso,Alejandro Rodríguez Cadarso,FRG,Republicanos,5,2320,0.000203
I,337,354,Jose Garcia Berlanga Pardo,José García Berlanga Pardo,PURA,Republicanos,10,2138,0.000187
I,338,848,Fernando Sainz Ruiz,Fernando Sainz Ruiz,PSOE,Socialista,9,2089,0.000183
