fecha,num_session,legislatura,etapa,filas_con_lista,ids_V2
1933-08-17,390,1931-1933,I,5,58701 58812 58823 58824 58829
1933-08-18,391,1931-1933,I,1,58876
1933-08-24,394,1931-1933,I,1,59660
1933-08-25,395,1931-1933,I,1,59775
1933-08-29,396,1931-1933,I,7,59884 59885 59886 59952 59961 59981 59984
1933-08-30,397,1931-1933,I,3,60020 60027 60032
1933-08-31,398,1931-1933,I,3,60150 60181 60251
1933-09-05,400,1931-1933,I,6,60681 60700 60742 60774 60792 60802
1933-09-06,401,1931-1933,I,1,60898
1933-09-07,402,1931-1933,I,1,61034
1933-10-03,405,1931-1933,I,1,61320
1933-12-14,4,1933-1935,II,1,61502
1933-12-19,6,1933-1935,II,1,61629
1933-12-20,7,1933-1935,II,1,61719
1933-12-22,9,1933-1935,II,2,61876 61889
1933-12-26,10,1933-1935,II,2,61954 61976
1933-12-27,11,1933-1935,II,1,61993
1933-12-29,13,1933-1935,II,3,62080 62102 62127
1934-01-03,15,1933-1935,II,1,62240
1934-01-09,18,1933-1935,II,2,62483 62503
1934-01-11,20,1933-1935,II,1,62670
1934-01-12,21,1933-1935,II,1,62789
1934-01-24,27,1933-1935,II,2,63355 63360
1934-01-26,29,1933-1935,II,1,63513
1934-01-31,31,1933-1935,II,1,63714
1934-02-01,32,1933-1935,II,1,63777
1934-02-07,35,1933-1935,II,1,64159
1934-02-08,36,1933-1935,II,1,64232
1934-02-09,37,1933-1935,II,1,64343
1934-02-20,38,1933-1935,II,1,64484
1934-02-21,39,1933-1935,II,5,64601 64676 64697 64711 64718
1934-02-22,40,1933-1935,II,12,64742 64747 64753 64758 64768 64780 64790 64798 64820 64843 64850 64862
1934-02-23,41,1933-1935,II,1,64870
1934-02-28,43,1933-1935,II,1,65031
1934-03-07,46,1933-1935,II,8,65149 65201 65212 65220 65227 65237 65238 65248
1934-03-08,47,1933-1935,II,1,65381
1934-03-14,50,1933-1935,II,3,65665 65667 65712
1934-03-16,52,1933-1935,II,2,65858 65890
1934-03-21,54,1933-1935,II,1,66063
1934-03-22,55,1933-1935,II,1,66225
1934-03-23,56,1933-1935,II,1,66258
1934-03-26,58,1933-1935,II,1,66452
1934-03-27,59,1933-1935,II,3,66558 66559 66568
1934-03-28,60,1933-1935,II,1,66630
1934-04-03,61,1933-1935,II,1,66722
1934-04-04,62,1933-1935,II,4,66807 66842 66845 66866
1934-04-05,63,1933-1935,II,4,66895 66896 66897 66904
1934-04-06,64,1933-1935,II,2,67014 67029
1934-04-10,65,1933-1935,II,2,67160 67177
1934-04-11,66,1933-1935,II,1,67299
1934-04-12,67,1933-1935,II,6,67368 67383 67394 67418 67435 67460
1934-04-13,68,1933-1935,II,5,67556 67577 67654 67666 67676
1934-04-17,69,1933-1935,II,4,67696 67719 67732 67777
1934-04-18,70,1933-1935,II,6,67836 67849 67906 67917 67945 67955
1934-04-19,71,1933-1935,II,4,68046 68174 68186 68218
1934-04-20,72,1933-1935,II,3,68299 68300 68331
1934-04-24,73,1933-1935,II,6,68365 68366 68377 68388 68406 68417
1934-05-02,75,1933-1935,II,1,68513
1934-05-03,76,1933-1935,II,2,68650 68657
1934-05-04,77,1933-1935,II,1,68727
1934-05-08,78,1933-1935,II,4,68797 68808 68817 68892
1934-05-09,79,1933-1935,II,4,68896 68899 68940 68950
1934-05-10,80,1933-1935,II,2,69057 69185
1934-05-11,81,1933-1935,II,3,69281 69291 69308
1934-05-17,83,1933-1935,II,4,69473 69474 69486 69501
1934-05-18,84,1933-1935,II,3,69568 69581 69598
1934-05-22,85,1933-1935,II,4,69638 69666 69676 69709
1934-05-24,87,1933-1935,II,7,69912 69913 69927 69940 69943 69944 69945
1934-05-25,88,1933-1935,II,1,70042
1934-05-29,89,1933-1935,II,3,70217 70297 70310
1934-05-30,90,1933-1935,II,1,70484
1934-06-06,94,1933-1935,II,4,71010 71078 71109 71154
1934-06-07,95,1933-1935,II,2,71205 71227
1934-06-08,96,1933-1935,II,1,71326
1934-06-20,102,1933-1935,II,1,72307
1934-06-21,103,1933-1935,II,1,72572
1934-06-25,105,1933-1935,II,2,72839 72846
1934-06-26,106,1933-1935,II,1,72922
1934-06-27,107,1933-1935,II,2,73072 73086
1934-06-28,108,1933-1935,II,3,73201 73247 73274
1934-06-29,109,1933-1935,II,4,73516 73528 73669 73912
1934-06-30,110,1933-1935,II,2,74064 74210
1934-07-03,111,1933-1935,II,3,74330 74334 74361
1934-07-04,112,1933-1935,II,4,74462 74463 74464 74636
1934-11-06,116,1933-1935,II,1,74871
1934-11-13,120,1933-1935,II,1,75355
1934-11-14,121,1933-1935,II,1,75579
1934-11-15,122,1933-1935,II,2,75758 75892
1934-11-28,129,1933-1935,II,2,76751 76775
1934-11-29,130,1933-1935,II,3,76982 76984 76986
1934-11-30,131,1933-1935,II,1,77087
1934-12-11,136,1933-1935,II,1,77600
1934-12-12,137,1933-1935,II,1,77668
1934-12-14,139,1933-1935,II,2,77992 78018
1934-12-18,140,1933-1935,II,2,78106 78149
1934-12-20,143,1933-1935,II,3,78779 78780 78781
1935-01-24,147,1933-1935,II,1,79425
1935-01-30,150,1933-1935,II,1,80077
1935-01-31,151,1933-1935,II,1,80163
1935-02-01,152,1933-1935,II,1,80427
1935-02-05,153,1933-1935,II,3,80535 80622 80655
1935-02-06,154,1933-1935,II,2,80750 80768
1935-02-07,155,1933-1935,II,1,80993
1935-02-08,156,1933-1935,II,5,81162 81204 81213 81232 81238
1935-02-12,157,1933-1935,II,1,81429
1935-02-13,158,1933-1935,II,3,81635 81650 81728
1935-02-15,160,1933-1935,II,2,81989 82119
1935-02-19,161,1933-1935,II,2,82191 82274
1935-02-22,164,1933-1935,II,1,82911
1935-02-26,165,1933-1935,II,2,83031 83230
1935-02-27,166,1933-1935,II,2,83412 83448
1935-02-28,167,1933-1935,II,4,83724 83733 83954 83955
1935-03-01,168,1933-1935,II,2,84017 84179
1935-03-12,169,1933-1935,II,2,84390 84473
1935-03-13,170,1933-1935,II,2,84757 84785
1935-03-14,171,1933-1935,II,4,84967 84976 85016 85025
1935-03-15,172,1933-1935,II,3,85098 85216 85219
1935-03-21,174,1933-1935,II,1,85443
1935-03-26,177,1933-1935,II,1,85872
1935-03-27,178,1933-1935,II,1,86229
