nombre_completo;legislatura;nombre;apellidos;distrito;partido;familia_partidos;ideologia;id_dip
Pedro Vicente Gomez Sanchez;1931-1933;PEDRO VICENTE;GOMEZ SANCHEZ;Ciudad Real;PRR;Republicanos;C;395
Aurelio Lerroux Y Romero De Oca;1931-1933;AURELIO;LERROUX Y ROMERO DE OCA;Ciudad Real;PRR;Republicanos;C;488
Joaquin Perez Madrigal;1936-1939;JOAQUIN;PEREZ MADRIGAL;Ciudad Real;PRR;Republicanos;C;722
Enrique Izquierdo Jimenez;1933-1936;ENRIQUE;IZQUIERDO JIMENEZ;Ciudad Real;PRR;Republicanos;C;449
Francisco Morayta Martinez;1933-1936;FRANCISCO;MORAYTA MARTINEZ;Ciudad Real;PRR;Republicanos;C;624
Joaquin Perez Madrigal;1933-1936;JOAQUIN;PEREZ MADRIGAL;Ciudad Real;PRR;Republicanos;C;722
Ramon Carreras Pons;1931-1933;RAMON;CARRERAS PONS;Córdoba;PRR;Republicanos;C;197
Eloy Vaquero Cantillo;1931-1933;ELOY;VAQUERO CANTILLO;Córdoba;PRR;Republicanos;C;975
Joaquin De Pablo Blanco Torres;1933-1936;JOAQUIN DE;PABLO BLANCO TORRES;Córdoba;PRR;Republicanos;C;681
Francisco De P. Salinas Dieguez;1933-1936;FRANCISCO DE P.;SALINAS DIEGUEZ;Córdoba;PRR;Republicanos;C;854
Eloy Vaquero Cantillo;1933-1936;ELOY;VAQUERO CANTILLO;Córdoba;PRR;Republicanos;C;975
Jose Garcia Ramos Y Segond;1933-1936;JOSE;GARCIA RAMOS Y SEGOND;Coruña (La);PRR;Republicanos;C;367
Jose Miñones Bernardez;1933-1936;JOSE;MIÑONES BERNARDEZ;Coruña (La);PRR;Republicanos;C;600
Leandro Pita Romero;1933-1936;LEANDRO;PITA ROMERO;Coruña (La);PRR;Republicanos;C;741
Jose Maria Alvarez Mendizabal Y Bonilla;1936-1939;JOSE MARIA;ALVAREZ MENDIZABAL Y BONILLA;Cuenca;PRR;Republicanos;C;52
Jose Maria Alvarez Mendizabal Y Bonilla;1931-1933;JOSE MARIA;ALVAREZ MENDIZABAL Y BONILLA;Cuenca;PRR;Republicanos;C;52
Tomas Sierra Rustarazo;1936-1939;TOMAS;SIERRA RUSTARAZO;Cuenca;PRR;Republicanos;C;911
Jose Maria Alvarez Mendizabal Y Bonilla;1933-1936;JOSE MARIA;ALVAREZ MENDIZABAL Y BONILLA;Cuenca;PRR;Republicanos;C;52
Tomas Sierra Rustarazo;1933-1936;TOMAS;SIERRA RUSTARAZO;Cuenca;PRR;Republicanos;C;911
Jose Puig De Asprer;1931-1933;JOSE;PUIG DE ASPRER;Gerona;PRR;Republicanos;C;757
Jose Palanco Romero;1931-1933;JOSE;PALANCO ROMERO;Granada;PRR;Republicanos;C;688
Jose Pareja Yevenes;1931-1933;JOSE;PAREJA YEVENES;Granada;PRR;Republicanos;C;696
Enrique Jimenez Molinero;1933-1936;ENRIQUE;JIMENEZ MOLINERO;Granada;PRR;Republicanos;C;460
Jose Cazorla Salcedo;1933-1936;JOSE;CAZORLA SALCEDO;Granada;PRR;Republicanos;C;222
Jose Pareja Yevenes;1933-1936;JOSE;PAREJA YEVENES;Granada;PRR;Republicanos;C;696
Francisco Roca Yevenes;1933-1936;FRANCISCO;ROCA YEVENES;Granada;PRR;Republicanos;C;797
Juan Felix Sanz Blanco;1933-1936;JUAN FELIX;SANZ BLANCO;Granada;PRR;Republicanos;C;887
Jose Carrasco Cabezuelo;1933-1936;JOSE;CARRASCO CABEZUELO;Guadalajara;PRR;Republicanos;C;194
Juan Usabiaga Lasquibar;1931-1933;JUAN;USABIAGA LASQUIBAR;Guipúzcoa;PRR;Republicanos;C;965
Luis Cordero Bel;1931-1933;LUIS;CORDERO BEL;Huelva;PRR;Republicanos;C;242
Fernando Rey Mora;1931-1933;FERNANDO;REY MORA;Huelva;PRR;Republicanos;C;783
Jose Terrero Sanchez;1931-1933;JOSE;TERRERO SANCHEZ;Huelva;PRR;Republicanos;C;939
Luis Velasco Coffin;1931-1933;LUIS;VELASCO COFFIN;Huelva;PRR;Republicanos;C;989
Fernando Rey Mora;1933-1936;FERNANDO;REY MORA;Huelva;PRR;Republicanos;C;783
Pio Diaz Pradas;1931-1933;PIO;DIAZ PRADAS;Huelva;PRR;Republicanos;C;265
Joaquin Mallo Castan;1931-1933;JOAQUIN;MALLO CASTAN;Huelva;PRR;Republicanos;C;520
Tomas Peire Cabaleiro;1931-1933;TOMAS;PEIRE CABALEIRO;Huelva;PRR;Republicanos;C;703
Rafael Ulled Altimer;1931-1933;RAFAEL;ULLED ALTIMER;Huelva;PRR;Republicanos;C;959
Joaquin Mallo Castan;1933-1936;JOAQUIN;MALLO CASTAN;Huelva;PRR;Republicanos;C;520
Jose Perez De Rozas Y Masdeu;1936-1939;JOSE;PEREZ DE ROZAS Y MASDEU;Jaén;PRR;Republicanos;C;716
Nicolas Alcala Espinosa;1933-1936;NICOLAS;ALCALA ESPINOSA;Jaén;PRR;Republicanos;C;27
