id_medida,id_legislature,id_dip1,name_dip1,id_dip2,name_dip2,ideo_dip1,ideo_dip2
10,1931-1933,247,Ricardo Cortes Villasana,393,Ricardo Gomez Roji,D,ED
10,1931-1933,247,Ricardo Cortes Villasana,421,Santiago Guallar Poza,D,D
10,1931-1933,247,Ricardo Cortes Villasana,470,Jose Maria Lamamie De Clairac Y De La Colina,D,ED
10,1931-1933,247,Ricardo Cortes Villasana,512,Dimas Madariaga Almendros,D,D
10,1931-1933,247,Ricardo Cortes Villasana,821,Antonio Royo Villanova Morales,D,CD
10,1931-1933,255,Ramon De La Cuesta Y Cobo De La Torre,298,Joaquin Fanjul Goñi,CD,CD
10,1931-1933,255,Ramon De La Cuesta Y Cobo De La Torre,388,Aurelio Gomez Gonzalez,CD,CD
10,1931-1933,255,Ramon De La Cuesta Y Cobo De La Torre,393,Ricardo Gomez Roji,CD,ED
10,1931-1933,255,Ramon De La Cuesta Y Cobo De La Torre,421,Santiago Guallar Poza,CD,D
10,1931-1933,255,Ramon De La Cuesta Y Cobo De La Torre,470,Jose Maria Lamamie De Clairac Y De La Colina,CD,ED
10,1931-1933,255,Ramon De La Cuesta Y Cobo De La Torre,512,Dimas Madariaga Almendros,CD,D
10,1931-1933,255,Ramon De La Cuesta Y Cobo De La Torre,821,Antonio Royo Villanova Morales,CD,CD
10,1931-1933,298,Joaquin Fanjul Goñi,388,Aurelio Gomez Gonzalez,CD,CD
10,1931-1933,298,Joaquin Fanjul Goñi,393,Ricardo Gomez Roji,CD,ED
10,1931-1933,298,Joaquin Fanjul Goñi,421,Santiago Guallar Poza,CD,D
10,1931-1933,298,Joaquin Fanjul Goñi,470,Jose Maria Lamamie De Clairac Y De La Colina,CD,ED
10,1931-1933,298,Joaquin Fanjul Goñi,512,Dimas Madariaga Almendros,CD,D
10,1931-1933,298,Joaquin Fanjul Goñi,821,Antonio Royo Villanova Morales,CD,CD
10,1931-1933,388,Aurelio Gomez Gonzalez,393,Ricardo Gomez Roji,CD,ED
10,1931-1933,388,Aurelio Gomez Gonzalez,421,Santiago Guallar Poza,CD,D
10,1931-1933,388,Aurelio Gomez Gonzalez,470,Jose Maria Lamamie De Clairac Y De La Colina,CD,ED
10,1931-1933,388,Aurelio Gomez Gonzalez,512,Dimas Madariaga Almendros,CD,D
10,1931-1933,388,Aurelio Gomez Gonzalez,821,Antonio Royo Villanova Morales,CD,CD
10,1931-1933,393,Ricardo Gomez Roji,421,Santiago Guallar Poza,ED,D
10,1931-1933,393,Ricardo Gomez Roji,470,Jose Maria Lamamie De Clairac Y De La Colina,ED,ED
10,1931-1933,393,Ricardo Gomez Roji,512,Dimas Madariaga Almendros,ED,D
10,1931-1933,393,Ricardo Gomez Roji,821,Antonio Royo Villanova Morales,ED,CD
10,1931-1933,421,Santiago Guallar Poza,470,Jose Maria Lamamie De Clairac Y De La Colina,D,ED
10,1931-1933,421,Santiago Guallar Poza,512,Dimas Madariaga Almendros,D,D
10,1931-1933,421,Santiago Guallar Poza,821,Antonio Royo Villanova Morales,D,CD
10,1931-1933,470,Jose Maria Lamamie De Clairac Y De La Colina,512,Dimas Madariaga Almendros,ED,D
10,1931-1933,470,Jose Maria Lamamie De Clairac Y De La Colina,821,Antonio Royo Villanova Morales,ED,CD
10,1931-1933,512,Dimas Madariaga Almendros,821,Antonio Royo Villanova Morales,D,CD
11,1931-1933,7,Antonio Acuña Carballar,21,Manuel Albar Catalan,I,I
11,1931-1933,7,Antonio Acuña Carballar,33,Jose Algora Gorbea,I,I
11,1931-1933,7,Antonio Acuña Carballar,154,Enrique Heraclio Botana Perez,I,I
11,1931-1933,7,Antonio Acuña Carballar,210,Hermenegildo Casas Jimenez,I,I
11,1931-1933,7,Antonio Acuña Carballar,214,Miguel Castaño Quiñones,I,I
11,1931-1933,7,Antonio Acuña Carballar,243,Manuel Cordero Perez,I,I
11,1931-1933,7,Antonio Acuña Carballar,365,Antonio Garcia Prieto,I,I
11,1931-1933,7,Antonio Acuña Carballar,606,Jose Molina Moreno,I,I
11,1931-1933,7,Antonio Acuña Carballar,656,Alfredo Nistal Martinez,I,I
